OBJECTID_1,PROVINCE,CITY,COUNTY,AET,PM2.5,ppt,tem,wind,NOX,SO2,fertilzier,manure
1695,陕西省,商洛市,镇安县,6.253333,26.957143,15.394359,3.132821,1.751282,24.67374195,9.561129086,5412.635819,2121.656747
1696,陕西省,商洛市,柞水县,1.360448,24.244445,15.629851,1.25597,1.947015,10.59977611,2.977690444,3400.65186,1443.653985
1697,河南省,商丘市,民权县,5.465672,28.3,13.328358,3.734328,1.859701,62.92144902,25.28324669,21626.53209,7898.782143
1698,河南省,商丘市,宁陵县,6.193478,41.299999,15.441304,3.841304,1.908696,9.716288921,2.149015272,19292.92811,3464.716856
1699,河南省,商丘市,夏邑县,6.686747,28.569565,18.263855,3.850602,2.026506,150.5448783,52.63356813,50948.03193,9061.92947
1700,河南省,商丘市,永城市,10.517797,36.799999,20.771186,4.177119,2.154237,233.6259235,151.8816573,72492.29045,96160.89984
1701,河南省,商丘市,虞城县,5.926744,32.1,17.101163,3.817442,1.959302,10.17850799,7.780829213,65437.82898,7726.000016
1702,河南省,商丘市,柘城县,8.095,32.164,18.725,4.056667,2.011667,67.20521946,42.14455925,25762.95321,5807.145291
1703,河南省,商丘市,睢县,6.024528,35.368421,15.815094,3.756604,1.924528,20.66956973,16.85796879,21704.49485,6151.154633
1704,上海市,市辖区,宝山区,39.175,34.715789,81.825,6.965,4.185,25.37369577,18.96509561,649.38946,139.500087
1705,上海市,市辖区,上海市区,37.85625,41.0,86.4,6.99375,4.06875,40.75272067,26.42680491,8629.801938,10094.06803
1706,上海市,市辖区,奉贤区,34.923077,29.684616,68.9,6.710256,4.061538,64.15688077,43.92561069,5724.737355,5580.978056
1707,上海市,市辖区,嘉定区,34.364,34.0625,79.308,6.276,3.52,8.158612637,7.392111744,3157.430806,649.725262
1708,上海市,市辖区,金山区,33.975,32.195833,69.671875,6.46875,3.765625,28.88706544,24.62674187,7775.733115,6451.789262
1709,上海市,市辖区,青浦区,31.786486,35.766667,74.178378,6.12973,2.821622,23.05999396,16.42722888,4810.451156,1179.71733
